IPAddress,Parameter,Periodicity,RFValue,Thresholdvalue,ClientName
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/20),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/21),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/22),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/23),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/24),60,3,90,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/13),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/14),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/15),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/16),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/7),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/8),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/9),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(Vlan101),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/13),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/14),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/15),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/16),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/7),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/8),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/9),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(Vlan101),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/21),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/22),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/23),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/24),180,3,10,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/14),60,3,80,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/15),60,3,80,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/16),60,3,90,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/17),60,3,80,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/7),60,3,90,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/8),60,3,90,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/9),60,3,80,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/1),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/11),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/18),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/2),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/24),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/4),120,3,100,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/1),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/11),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/18),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/2),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/24),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/4),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/6),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/1),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/11),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/18),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/2),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/24),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/4),180,3,10,ATMSL
